treeid,year,length,site,drought,name
27,2016,5.533333333,Kearsarge,No drought,whitebark
27,2017,4.433333333,Kearsarge,No drought,whitebark
28,2011,3.866666667,Kearsarge,No drought,whitebark
28,2012,4.366666667,Kearsarge,  Drought,whitebark
28,2013,5.166666667,Kearsarge,  Drought,whitebark
28,2014,5.066666667,Kearsarge,  Drought,whitebark
28,2015,5.4,Kearsarge,  Drought,whitebark
28,2016,5.433333333,Kearsarge,No drought,whitebark
28,2017,3.833333333,Kearsarge,No drought,whitebark
29,2011,4.1,Kearsarge,No drought,whitebark
29,2012,3.8,Kearsarge,  Drought,whitebark
29,2013,5.366666667,Kearsarge,  Drought,whitebark
29,2014,5.066666667,Kearsarge,  Drought,whitebark
29,2015,4.833333333,Kearsarge,  Drought,whitebark
29,2016,4.766666667,Kearsarge,No drought,whitebark
29,2017,3.6,Kearsarge,No drought,whitebark
30,2011,4.7,Kearsarge,No drought,whitebark
30,2012,4.066666667,Kearsarge,  Drought,whitebark
30,2013,4.733333333,Kearsarge,  Drought,whitebark
30,2014,4.866666667,Kearsarge,  Drought,whitebark
30,2015,5.266666667,Kearsarge,  Drought,whitebark
30,2016,4.4,Kearsarge,No drought,whitebark
30,2017,4.266666667,Kearsarge,No drought,whitebark
