plot,vpd20,idshort,vpd_hpa,perchange,vpd2,vpd_final
77,5.455000005662441,bcc-csm1-1_r1i1p1_rcp45,5.999999990065893,0.09990833800874918,0.599450027059995,6.599450017125888
78,4.853333339095116,bcc-csm1-1_r1i1p1_rcp45,5.368333347141743,0.10611263889462139,0.5696480179312059,5.9379813650729485
79,5.231666659315427,bcc-csm1-1_r1i1p1_rcp45,5.7849999989072485,0.10576616891417663,0.6118572870529356,6.396857285960184
80,5.231666659315427,bcc-csm1-1_r1i1p1_rcp45,5.7849999989072485,0.10576616891417663,0.6118572870529356,6.396857285960184
81,4.400000018378099,bcc-csm1-1_r1i1p1_rcp45,4.856666674216588,0.10378787589342381,0.5040631180393186,5.360729792255906
82,4.689999992648761,bcc-csm1-1_r1i1p1_rcp45,5.139999985694885,0.09594882595980112,0.4931769640608188,5.633176949755704
83,4.08666667342186,bcc-csm1-1_r1i1p1_rcp45,4.499999997516474,0.10114192253133297,0.4551386511398098,4.955138648656283
84,4.868333337207636,bcc-csm1-1_r1i1p1_rcp45,5.338333323597908,0.09654227716868981,0.5153748553456423,5.853708178943551
85,4.8266666457057,bcc-csm1-1_r1i1p1_rcp45,5.283333338797092,0.09461326555412529,0.4998734201945727,5.783206758991665
86,5.086666656037172,bcc-csm1-1_r1i1p1_rcp45,5.620000002284845,0.104849281919168,0.5892529646252885,6.2092529669101335
87,5.086666656037172,bcc-csm1-1_r1i1p1_rcp45,5.620000002284845,0.104849281919168,0.5892529646252885,6.2092529669101335
88,7.381666685144107,bcc-csm1-1_r1i1p1_rcp45,8.106666634480158,0.09821629453889348,0.7962067579007235,8.902873392380881
89,6.059999989966551,bcc-csm1-1_r1i1p1_rcp45,6.676666644712289,0.10176017421893457,0.6794187609676718,7.356085405679961
90,5.259999985496203,bcc-csm1-1_r1i1p1_rcp45,5.819999980429809,0.10646387765736419,0.6196197658823411,6.439619746312149
91,6.059999989966551,bcc-csm1-1_r1i1p1_rcp45,6.676666644712289,0.10176017421893457,0.6794187609676718,7.356085405679961
92,6.381666695078215,bcc-csm1-1_r1i1p1_rcp45,7.03833335886399,0.10289892831479613,0.724236959749384,7.762570318613374
93,6.381666695078215,bcc-csm1-1_r1i1p1_rcp45,7.03833335886399,0.10289892831479613,0.724236959749384,7.762570318613374
94,6.330000005662441,bcc-csm1-1_r1i1p1_rcp45,6.984999969601631,0.10347550763874659,0.7227764177111583,7.70777638731279
95,7.059999952713648,bcc-csm1-1_r1i1p1_rcp45,7.765000013013681,0.09985836615042087,0.775400214457543,8.540400227471224
96,5.823333318034808,bcc-csm1-1_r1i1p1_rcp45,6.426666684448719,0.10360618797920998,0.6658424365887201,7.092509121037439
97,8.235000024239222,bcc-csm1-1_r1i1p1_rcp45,9.019999995827675,0.09532482929907148,0.8598299598798985,9.879829955707573
98,7.8766667147477465,bcc-csm1-1_r1i1p1_rcp45,8.634999980529148,0.09627591127621904,0.8313424919955774,9.466342472524726
99,7.8766667147477465,bcc-csm1-1_r1i1p1_rcp45,8.634999980529148,0.09627591127621904,0.8313424919955774,9.466342472524726
100,7.569999953111013,bcc-csm1-1_r1i1p1_rcp45,8.313333317637444,0.09819463264606036,0.816324711189663,9.129658028827107
101,7.569999953111013,bcc-csm1-1_r1i1p1_rcp45,8.313333317637444,0.09819463264606036,0.816324711189663,9.129658028827107
102,7.9199999918540325,bcc-csm1-1_r1i1p1_rcp45,8.69500001768271,0.09785353871537752,0.8508365208605234,9.545836538543234
103,6.0949999789396925,bcc-csm1-1_r1i1p1_rcp45,6.731666612128416,0.10445720022783009,0.7031710471700966,7.434837659298513
104,6.0949999789396925,bcc-csm1-1_r1i1p1_rcp45,6.731666612128416,0.10445720022783009,0.7031710471700966,7.434837659298513
105,6.159999991456667,bcc-csm1-1_r1i1p1_rcp45,6.803333299855391,0.10443722553424767,0.7105212542216548,7.513854554077046
106,7.778333341081937,bcc-csm1-1_r1i1p1_rcp45,8.516666688024998,0.09492179295575953,0.8084172720339231,9.32508396005892
107,6.4833333641290665,bcc-csm1-1_r1i1p1_rcp45,7.144999988377094,0.10205654824243521,0.729194036006006,7.8741940243831
108,6.4833333641290665,bcc-csm1-1_r1i1p1_rcp45,7.144999988377094,0.10205654824243521,0.729194036006006,7.8741940243831
109,4.803333319723606,bcc-csm1-1_r1i1p1_rcp45,5.268333345651627,0.09680777805250824,0.5100156452324709,5.778348990884098
110,7.893333340684573,bcc-csm1-1_r1i1p1_rcp45,8.664999986688297,0.09776182161550508,0.8471061829969752,9.512106169685273
111,7.773333345850308,bcc-csm1-1_r1i1p1_rcp45,8.548333317041397,0.09969982460675152,0.8522673323890777,9.400600649430475
112,7.233333297073841,bcc-csm1-1_r1i1p1_rcp45,7.978333291908105,0.10299539150721075,0.8217315609750888,8.800064852883194
113,6.4216666643818225,bcc-csm1-1_r1i1p1_rcp45,7.08833335340023,0.10381521244572169,0.7358768329693397,7.82421018636957
114,6.4216666643818225,bcc-csm1-1_r1i1p1_rcp45,7.08833335340023,0.10381521244572169,0.7358768329693397,7.82421018636957
115,6.913333336512247,bcc-csm1-1_r1i1p1_rcp45,7.6133333295583725,0.10125361514815558,0.7708775229457293,8.384210852504102
116,6.784999996423721,bcc-csm1-1_r1i1p1_rcp45,7.48500000933806,0.1031687565634929,0.7722181438411405,8.2572181531792
117,7.848333343863487,bcc-csm1-1_r1i1p1_rcp45,8.623333414395649,0.09874708891386788,0.851529071405255,9.474862485800903
